0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
171,226,449,711,839,961,1353,1764,1863,1936,2311,2683,2964,3323,3792,4210,4926,5195.0,5843.0,6466.0,6726.0,7166.0,7371.0,8262.0,8715.0,8933.0,9460.0,9644.0,,,,,,,,,,,,,,,
182,256,504,910,1244,1578,1766,1846,2098,2408,2720,2809,3119,3405,3880,4180,4305,4594.0,4664.0,4808.0,4975.0,5098.0,5300.0,5474.0,5858.0,,,,,,,,,,,,,,,,,,
204,278,488,697,1299,1514,1677,2018,2100,2488,2798,3432,3954,4213,4914,5192,5493,,,,,,,,,,,,,,,,,,,,,,,,,,
143,222,623,864,990,1738,1987,2300,2813,3111,3186,3764,3905,4210,4631,4978,5760,6198.0,6481.0,6710.0,7411.0,7604.0,8133.0,,,,,,,,,,,,,,,,,,,,
185,275,515,708,980,1219,1578,1680,1814,2042,2374,2574,3115,3376,3704,4154,4646,5045.0,5290.0,5783.0,6189.0,6723.0,6846.0,7050.0,7313.0,7838.0,,,,,,,,,,,,,,,,,
220,270,592,1172,1325,1892,2064,2535,3132,3705,4132,4259,4560,4872,5170,5674,5849,6287.0,6416.0,6651.0,6811.0,7334.0,,,,,,,,,,,,,,,,,,,,,
207,518,807,1212,1353,1704,2105,2491,3039,3444,4043,4376,5067,5859,6234,6439,6707,7215.0,7885.0,8285.0,8790.0,8993.0,,,,,,,,,,,,,,,,,,,,,
181,508,678,910,1293,1653,1750,2376,2799,3098,3716,4218,4950,5117,5510,5769,5969,6103.0,6382.0,6470.0,6687.0,7255.0,7408.0,7785.0,8453.0,,,,,,,,,,,,,,,,,,
210,469,656,887,1088,1279,1894,2450,2825,3396,3724,4359,4899,5196,5538,5750,5886,6508.0,6763.0,7015.0,7385.0,8293.0,8414.0,,,,,,,,,,,,,,,,,,,,
177,442,563,1071,1220,1358,1802,2520,2836,3117,3576,3956,4435,4632,4757,5130,5483,5570.0,6093.0,6341.0,6697.0,7236.0,,,,,,,,,,,,,,,,,,,,,
150,420,845,1298,1703,2237,2730,3070,3202,3420,3754,4040,4491,4595,4740,5315,5538,5851.0,6037.0,6293.0,6872.0,6948.0,7201.0,7487.0,7648.0,8109.0,,,,,,,,,,,,,,,,,
224,515,740,965,1395,1792,2235,2680,2884,3100,3632,3843,4214,4704,5077,5173,5382,6152.0,6530.0,6868.0,,,,,,,,,,,,,,,,,,,,,,,
170,447,614,980,1128,1316,1839,2375,2928,3110,3391,3602,3933,4337,4629,4858,5248,5547.0,5834.0,,,,,,,,,,,,,,,,,,,,,,,,
165,474,672,826,1031,1250,1540,1680,1909,2204,2502,2834,2975,3183,3650,3888,4122,4356.0,4512.0,4645.0,4940.0,5220.0,5399.0,5681.0,5849.0,5929.0,6106.0,6552.0,6804.0,7341.0,,,,,,,,,,,,,
213,509,950,1334,1416,1917,2156,2580,2746,3116,3258,3354,3426,3637,3907,4167,4395,4638.0,5050.0,5144.0,,,,,,,,,,,,,,,,,,,,,,,
192,267,330,582,998,1272,1430,1525,1630,1775,2108,2920,3122,3263,3564,3967,4222,4480.0,4627.0,4938.0,5130.0,5595.0,5663.0,5806.0,6030.0,6290.0,6657.0,7162.0,7350.0,7508.0,7684.0,8010.0,8265.0,8393.0,8730.0,9089.0,9202.0,9461.0,9697.0,,,,
217,292,346,571,808,1056,1590,2017,2327,2690,2876,3150,3288,3872,4106,4320,4580,4630.0,5324.0,5733.0,6420.0,6551.0,,,,,,,,,,,,,,,,,,,,,
271,317,596,743,938,1213,1715,2020,2329,2689,3489,3733,3973,4315,4368,4784,5010,5178.0,5334.0,5564.0,5940.0,6360.0,6560.0,7176.0,7522.0,7715.0,8347.0,,,,,,,,,,,,,,,,
190,250,504,857,1034,1221,1266,1435,1748,2103,2335,2626,3010,3150,3307,3492,3840,4231.0,4467.0,4534.0,4824.0,5045.0,5454.0,5717.0,5968.0,6334.0,6424.0,6745.0,7004.0,7093.0,7458.0,7714.0,7950.0,8299.0,8381.0,8733.0,8945.0,9154.0,9444.0,9578.0,9923.0,10101.0,10458.0
263,647,692,937,1121,1526,1742,1811,2093,2307,3057,3326,3471,3622,4375,5155,5354,5655.0,5782.0,6456.0,6807.0,7398.0,7670.0,,,,,,,,,,,,,,,,,,,,
188,235,500,880,1650,2630,3525,4130,4248,4576,5277,5845,6680,7695,8195,9357,9795,10427.0,11042.0,11846.0,12008.0,,,,,,,,,,,,,,,,,,,,,,
145,193,460,606,857,1459,1576,1961,2101,2506,2923,3483,3780,4328,4473,4956,5418,5715.0,6189.0,6310.0,6684.0,,,,,,,,,,,,,,,,,,,,,,
138,177,657,906,1033,1455,1767,2027,2348,2746,3405,3739,4442,4633,5060,5277,5548,5794.0,6433.0,6793.0,6936.0,,,,,,,,,,,,,,,,,,,,,,
175,256,510,769,960,1316,1590,1738,2110,2524,3079,3684,4023,4364,4490,4817,5533,6093.0,6300.0,6442.0,6615.0,7005.0,7170.0,7460.0,7620.0,,,,,,,,,,,,,,,,,,
182,415,584,932,1201,1383,2053,2282,2542,2686,2945,3126,3570,3788,4345,4500,5029,5827.0,6058.0,6267.0,,,,,,,,,,,,,,,,,,,,,,,
256,549,1005,1225,1564,1702,1932,2239,2714,3007,3413,3710,4536,4903,5276,5495,5745,6006.0,6159.0,,,,,,,,,,,,,,,,,,,,,,,,
179,484,853,1140,1326,1972,2330,2483,3039,3191,3482,4202,4520,4882,5908,6463,6973,7736.0,7964.0,8420.0,8758.0,8936.0,,,,,,,,,,,,,,,,,,,,,
